citrus fruit,semi-finished bread,margarine,ready soups,,
tropical fruit,yogurt,coffee,,,
whole milk,citrus fruit,semi-finished bread,,,
pip fruit,yogurt,cream cheese ,meat spreads,,
other vegetables,whole milk,condensed milk,long life bakery product,,
whole milk,butter,yogurt,rice,abrasive cleaner,
rolls/buns,margarine,ready soups,meat spreads,,
other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer),
pot plants,liquor (appetizer),newspapers,,,
whole milk,cereals,chocolate,,,
tropical fruit,other vegetables,white bread,bottled water,chocolate,
citrus fruit,tropical fruit,whole milk,butter,curd,yogurt
beef,rolls/buns,yogurt,butter,,
frankfurter,rolls/buns,soda,,,
chicken,tropical fruit,fruit/vegetable juice,,,
butter,sugar,fruit/vegetable juice,newspapers,,
